description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
gems release gsg from stack of x11 zsg	1			0	18	70	11		1	zsg							zsg,qty=10																													gsg																																																										0
gems release gsg from stack of x10 zsg	1			0	18	70	10		1	zsg							zsg,qty=9																													gsg																																																										0
gems release gsg from stack of x9 zsg	1			0	18	70	9		1	zsg							zsg,qty=8																													gsg																																																										0
gems release gsg from stack of x8 zsg	1			0	18	70	8		1	zsg							zsg,qty=7																													gsg																																																										0
gems release gsg from stack of x7 zsg	1			0	18	70	7		1	zsg							zsg,qty=6																													gsg																																																										0
gems release gsg from stack of x6 zsg	1			0	18	70	6		1	zsg							zsg,qty=5																													gsg																																																										0
gems release gsg from stack of x5 zsg	1			0	18	70	5		1	zsg							zsg,qty=4																													gsg																																																										0
gems release gsg from stack of x4 zsg	1			0	18	70	4		1	zsg							zsg,qty=3																													gsg																																																										0
gems release gsg from stack of x3 zsg	1			0	18	70	3		1	zsg							zsg,qty=2																													gsg																																																										0
gems release gsg from stack of x2 zsg	1			0	18	70	2		1	zsg							zsg,qty=1																													gsg																																																										0
gems glg -> stackable zlg	1			0					1	glg							zlg																																																																																							0
gems stackable zlg -> glg	1			0	18	70	1		1	zlg							glg																																																																																							0
gems release glg from stack of x48 zlg	1			0	18	70	48		1	zlg							zlg,qty=47																													glg																																																										0
gems release glg from stack of x47 zlg	1			0	18	70	47		1	zlg							zlg,qty=46																													glg																																																										0
gems release glg from stack of x46 zlg	1			0	18	70	46		1	zlg							zlg,qty=45																													glg																																																										0
gems release glg from stack of x45 zlg	1			0	18	70	45		1	zlg							zlg,qty=44																													glg																																																										0
gems release glg from stack of x44 zlg	1			0	18	70	44		1	zlg							zlg,qty=43																													glg																																																										0
gems release glg from stack of x43 zlg	1			0	18	70	43		1	zlg							zlg,qty=42																													glg																																																										0
gems release glg from stack of x42 zlg	1			0	18	70	42		1	zlg							zlg,qty=41																													glg																																																										0
gems release glg from stack of x41 zlg	1			0	18	70	41		1	zlg							zlg,qty=40																													glg																																																										0
gems release glg from stack of x40 zlg	1			0	18	70	40		1	zlg							zlg,qty=39																													glg																																																										0
gems release glg from stack of x39 zlg	1			0	18	70	39		1	zlg							zlg,qty=38																													glg																																																										0
gems release glg from stack of x38 zlg	1			0	18	70	38		1	zlg							zlg,qty=37																													glg																																																										0
gems release glg from stack of x37 zlg	1			0	18	70	37		1	zlg							zlg,qty=36																													glg																																																										0
gems release glg from stack of x36 zlg	1			0	18	70	36		1	zlg							zlg,qty=35																													glg																																																										0
gems release glg from stack of x35 zlg	1			0	18	70	35		1	zlg							zlg,qty=34																													glg																																																										0
gems release glg from stack of x34 zlg	1			0	18	70	34		1	zlg							zlg,qty=33																													glg																																																										0
gems release glg from stack of x33 zlg	1			0	18	70	33		1	zlg							zlg,qty=32																													glg																																																										0
gems release glg from stack of x32 zlg	1			0	18	70	32		1	zlg							zlg,qty=31																													glg																																																										0
gems release glg from stack of x31 zlg	1			0	18	70	31		1	zlg							zlg,qty=30																													glg																																																										0
gems release glg from stack of x30 zlg	1			0	18	70	30		1	zlg							zlg,qty=29																													glg																																																										0
gems release glg from stack of x29 zlg	1			0	18	70	29		1	zlg							zlg,qty=28																													glg																																																										0
gems release glg from stack of x28 zlg	1			0	18	70	28		1	zlg							zlg,qty=27																													glg																																																										0
gems release glg from stack of x27 zlg	1			0	18	70	27		1	zlg							zlg,qty=26																													glg																																																										0
gems release glg from stack of x26 zlg	1			0	18	70	26		1	zlg							zlg,qty=25																													glg																																																										0
gems release glg from stack of x25 zlg	1			0	18	70	25		1	zlg							zlg,qty=24																													glg																																																										0
gems release glg from stack of x24 zlg	1			0	18	70	24		1	zlg							zlg,qty=23																													glg																																																										0
gems release glg from stack of x23 zlg	1			0	18	70	23		1	zlg							zlg,qty=22																													glg																																																										0
gems release glg from stack of x22 zlg	1			0	18	70	22		1	zlg							zlg,qty=21																													glg																																																										0
gems release glg from stack of x21 zlg	1			0	18	70	21		1	zlg							zlg,qty=20																													glg																																																										0
gems release glg from stack of x20 zlg	1			0	18	70	20		1	zlg							zlg,qty=19																													glg																																																										0
gems release glg from stack of x19 zlg	1			0	18	70	19		1	zlg							zlg,qty=18																													glg																																																										0
gems release glg from stack of x18 zlg	1			0	18	70	18		1	zlg							zlg,qty=17																													glg																																																										0
gems release glg from stack of x17 zlg	1			0	18	70	17		1	zlg							zlg,qty=16																													glg																																																										0
gems release glg from stack of x16 zlg	1			0	18	70	16		1	zlg							zlg,qty=15																													glg																																																										0
gems release glg from stack of x15 zlg	1			0	18	70	15		1	zlg							zlg,qty=14																													glg																																																										0
gems release glg from stack of x14 zlg	1			0	18	70	14		1	zlg							zlg,qty=13																													glg																																																										0
gems release glg from stack of x13 zlg	1			0	18	70	13		1	zlg							zlg,qty=12																													glg																																																										0
gems release glg from stack of x12 zlg	1			0	18	70	12		1	zlg							zlg,qty=11																													glg																																																										0
gems release glg from stack of x11 zlg	1			0	18	70	11		1	zlg							zlg,qty=10																													glg																																																										0
gems release glg from stack of x10 zlg	1			0	18	70	10		1	zlg							zlg,qty=9																													glg																																																										0
gems release glg from stack of x9 zlg	1			0	18	70	9		1	zlg							zlg,qty=8																													glg																																																										0
gems release glg from stack of x8 zlg	1			0	18	70	8		1	zlg							zlg,qty=7																													glg																																																										0
gems release glg from stack of x7 zlg	1			0	18	70	7		1	zlg							zlg,qty=6																													glg																																																										0
gems release glg from stack of x6 zlg	1			0	18	70	6		1	zlg							zlg,qty=5																													glg																																																										0
gems release glg from stack of x5 zlg	1			0	18	70	5		1	zlg							zlg,qty=4																													glg																																																										0
gems release glg from stack of x4 zlg	1			0	18	70	4		1	zlg							zlg,qty=3																													glg																																																										0
gems release glg from stack of x3 zlg	1			0	18	70	3		1	zlg							zlg,qty=2																													glg																																																										0
gems release glg from stack of x2 zlg	1			0	18	70	2		1	zlg							zlg,qty=1																													glg																																																										0
gems gpg -> stackable zpg	1			0					1	gpg							zpg																																																																																							0
gems stackable zpg -> gpg	1			0	18	70	1		1	zpg							gpg																																																																																							0
gems release gpg from stack of x48 zpg	1			0	18	70	48		1	zpg							zpg,qty=47																													gpg																																																										0
gems release gpg from stack of x47 zpg	1			0	18	70	47		1	zpg							zpg,qty=46																													gpg																																																										0
gems release gpg from stack of x46 zpg	1			0	18	70	46		1	zpg							zpg,qty=45																													gpg																																																										0
gems release gpg from stack of x45 zpg	1			0	18	70	45		1	zpg							zpg,qty=44																													gpg																																																										0
gems release gpg from stack of x44 zpg	1			0	18	70	44		1	zpg							zpg,qty=43																													gpg																																																										0
gems release gpg from stack of x43 zpg	1			0	18	70	43		1	zpg							zpg,qty=42																													gpg																																																										0
gems release gpg from stack of x42 zpg	1			0	18	70	42		1	zpg							zpg,qty=41																													gpg																																																										0
gems release gpg from stack of x41 zpg	1			0	18	70	41		1	zpg							zpg,qty=40																													gpg																																																										0
gems release gpg from stack of x40 zpg	1			0	18	70	40		1	zpg							zpg,qty=39																													gpg																																																										0
gems release gpg from stack of x39 zpg	1			0	18	70	39		1	zpg							zpg,qty=38																													gpg																																																										0
gems release gpg from stack of x38 zpg	1			0	18	70	38		1	zpg							zpg,qty=37																													gpg																																																										0
gems release gpg from stack of x37 zpg	1			0	18	70	37		1	zpg							zpg,qty=36																													gpg																																																										0
gems release gpg from stack of x36 zpg	1			0	18	70	36		1	zpg							zpg,qty=35																													gpg																																																										0
gems release gpg from stack of x35 zpg	1			0	18	70	35		1	zpg							zpg,qty=34																													gpg																																																										0
gems release gpg from stack of x34 zpg	1			0	18	70	34		1	zpg							zpg,qty=33																													gpg																																																										0
gems release gpg from stack of x33 zpg	1			0	18	70	33		1	zpg							zpg,qty=32																													gpg																																																										0
gems release gpg from stack of x32 zpg	1			0	18	70	32		1	zpg							zpg,qty=31																													gpg																																																										0
gems release gpg from stack of x31 zpg	1			0	18	70	31		1	zpg							zpg,qty=30																													gpg																																																										0
gems release gpg from stack of x30 zpg	1			0	18	70	30		1	zpg							zpg,qty=29																													gpg																																																										0
gems release gpg from stack of x29 zpg	1			0	18	70	29		1	zpg							zpg,qty=28																													gpg																																																										0
gems release gpg from stack of x28 zpg	1			0	18	70	28		1	zpg							zpg,qty=27																													gpg																																																										0
gems release gpg from stack of x27 zpg	1			0	18	70	27		1	zpg							zpg,qty=26																													gpg																																																										0
gems release gpg from stack of x26 zpg	1			0	18	70	26		1	zpg							zpg,qty=25																													gpg																																																										0
gems release gpg from stack of x25 zpg	1			0	18	70	25		1	zpg							zpg,qty=24																													gpg																																																										0
gems release gpg from stack of x24 zpg	1			0	18	70	24		1	zpg							zpg,qty=23																													gpg																																																										0
gems release gpg from stack of x23 zpg	1			0	18	70	23		1	zpg							zpg,qty=22																													gpg																																																										0
gems release gpg from stack of x22 zpg	1			0	18	70	22		1	zpg							zpg,qty=21																													gpg																																																										0
gems release gpg from stack of x21 zpg	1			0	18	70	21		1	zpg							zpg,qty=20																													gpg																																																										0
gems release gpg from stack of x20 zpg	1			0	18	70	20		1	zpg							zpg,qty=19																													gpg																																																										0
gems release gpg from stack of x19 zpg	1			0	18	70	19		1	zpg							zpg,qty=18																													gpg																																																										0
gems release gpg from stack of x18 zpg	1			0	18	70	18		1	zpg							zpg,qty=17																													gpg																																																										0
gems release gpg from stack of x17 zpg	1			0	18	70	17		1	zpg							zpg,qty=16																													gpg																																																										0
gems release gpg from stack of x16 zpg	1			0	18	70	16		1	zpg							zpg,qty=15																													gpg																																																										0
gems release gpg from stack of x15 zpg	1			0	18	70	15		1	zpg							zpg,qty=14																													gpg																																																										0
gems release gpg from stack of x14 zpg	1			0	18	70	14		1	zpg							zpg,qty=13																													gpg																																																										0
gems release gpg from stack of x13 zpg	1			0	18	70	13		1	zpg							zpg,qty=12																													gpg																																																										0
gems release gpg from stack of x12 zpg	1			0	18	70	12		1	zpg							zpg,qty=11																													gpg																																																										0
gems release gpg from stack of x11 zpg	1			0	18	70	11		1	zpg							zpg,qty=10																													gpg																																																										0
gems release gpg from stack of x10 zpg	1			0	18	70	10		1	zpg							zpg,qty=9																													gpg																																																										0
gems release gpg from stack of x9 zpg	1			0	18	70	9		1	zpg							zpg,qty=8																													gpg																																																										0
gems release gpg from stack of x8 zpg	1			0	18	70	8		1	zpg							zpg,qty=7																													gpg																																																										0
gems release gpg from stack of x7 zpg	1			0	18	70	7		1	zpg							zpg,qty=6																													gpg																																																										0
gems release gpg from stack of x6 zpg	1			0	18	70	6		1	zpg							zpg,qty=5																													gpg																																																										0
gems release gpg from stack of x5 zpg	1			0	18	70	5		1	zpg							zpg,qty=4																													gpg																																																										0
gems release gpg from stack of x4 zpg	1			0	18	70	4		1	zpg							zpg,qty=3																													gpg																																																										0
gems release gpg from stack of x3 zpg	1			0	18	70	3		1	zpg							zpg,qty=2																													gpg																																																										0
gems release gpg from stack of x2 zpg	1			0	18	70	2		1	zpg							zpg,qty=1																													gpg																																																										0
gems gcr -> stackable zcr	1			0					1	gcr							zcr																																																																																							0
gems stackable zcr -> gcr	1			0	18	70	1		1	zcr							gcr																																																																																							0
gems release gcr from stack of x48 zcr	1			0	18	70	48		1	zcr							zcr,qty=47																													gcr																																																										0
gems release gcr from stack of x47 zcr	1			0	18	70	47		1	zcr							zcr,qty=46																													gcr																																																										0
gems release gcr from stack of x46 zcr	1			0	18	70	46		1	zcr							zcr,qty=45																													gcr																																																										0
gems release gcr from stack of x45 zcr	1			0	18	70	45		1	zcr							zcr,qty=44																													gcr																																																										0
gems release gcr from stack of x44 zcr	1			0	18	70	44		1	zcr							zcr,qty=43																													gcr																																																										0
gems release gcr from stack of x43 zcr	1			0	18	70	43		1	zcr							zcr,qty=42																													gcr																																																										0
gems release gcr from stack of x42 zcr	1			0	18	70	42		1	zcr							zcr,qty=41																													gcr																																																										0
gems release gcr from stack of x41 zcr	1			0	18	70	41		1	zcr							zcr,qty=40																													gcr																																																										0
gems release gcr from stack of x40 zcr	1			0	18	70	40		1	zcr							zcr,qty=39																													gcr																																																										0
gems release gcr from stack of x39 zcr	1			0	18	70	39		1	zcr							zcr,qty=38																													gcr																																																										0
gems release gcr from stack of x38 zcr	1			0	18	70	38		1	zcr							zcr,qty=37																													gcr																																																										0
gems release gcr from stack of x37 zcr	1			0	18	70	37		1	zcr							zcr,qty=36																													gcr																																																										0
gems release gcr from stack of x36 zcr	1			0	18	70	36		1	zcr							zcr,qty=35																													gcr																																																										0
gems release gcr from stack of x35 zcr	1			0	18	70	35		1	zcr							zcr,qty=34																													gcr																																																										0
gems release gcr from stack of x34 zcr	1			0	18	70	34		1	zcr							zcr,qty=33																													gcr																																																										0
gems release gcr from stack of x33 zcr	1			0	18	70	33		1	zcr							zcr,qty=32																													gcr																																																										0
gems release gcr from stack of x32 zcr	1			0	18	70	32		1	zcr							zcr,qty=31																													gcr																																																										0
gems release gcr from stack of x31 zcr	1			0	18	70	31		1	zcr							zcr,qty=30																													gcr																																																										0
gems release gcr from stack of x30 zcr	1			0	18	70	30		1	zcr							zcr,qty=29																													gcr																																																										0
gems release gcr from stack of x29 zcr	1			0	18	70	29		1	zcr							zcr,qty=28																													gcr																																																										0
gems release gcr from stack of x28 zcr	1			0	18	70	28		1	zcr							zcr,qty=27																													gcr																																																										0
gems release gcr from stack of x27 zcr	1			0	18	70	27		1	zcr							zcr,qty=26																													gcr																																																										0
gems release gcr from stack of x26 zcr	1			0	18	70	26		1	zcr							zcr,qty=25																													gcr																																																										0
gems release gcr from stack of x25 zcr	1			0	18	70	25		1	zcr							zcr,qty=24																													gcr																																																										0
gems release gcr from stack of x24 zcr	1			0	18	70	24		1	zcr							zcr,qty=23																													gcr																																																										0
gems release gcr from stack of x23 zcr	1			0	18	70	23		1	zcr							zcr,qty=22																													gcr																																																										0
gems release gcr from stack of x22 zcr	1			0	18	70	22		1	zcr							zcr,qty=21																													gcr																																																										0
gems release gcr from stack of x21 zcr	1			0	18	70	21		1	zcr							zcr,qty=20																													gcr																																																										0
gems release gcr from stack of x20 zcr	1			0	18	70	20		1	zcr							zcr,qty=19																													gcr																																																										0
gems release gcr from stack of x19 zcr	1			0	18	70	19		1	zcr							zcr,qty=18																													gcr																																																										0
gems release gcr from stack of x18 zcr	1			0	18	70	18		1	zcr							zcr,qty=17																													gcr																																																										0
gems release gcr from stack of x17 zcr	1			0	18	70	17		1	zcr							zcr,qty=16																													gcr																																																										0
gems release gcr from stack of x16 zcr	1			0	18	70	16		1	zcr							zcr,qty=15																													gcr																																																										0
gems release gcr from stack of x15 zcr	1			0	18	70	15		1	zcr							zcr,qty=14																													gcr																																																										0
gems release gcr from stack of x14 zcr	1			0	18	70	14		1	zcr							zcr,qty=13																													gcr																																																										0
gems release gcr from stack of x13 zcr	1			0	18	70	13		1	zcr							zcr,qty=12																													gcr																																																										0
gems release gcr from stack of x12 zcr	1			0	18	70	12		1	zcr							zcr,qty=11																													gcr																																																										0
gems release gcr from stack of x11 zcr	1			0	18	70	11		1	zcr							zcr,qty=10																													gcr																																																										0
gems release gcr from stack of x10 zcr	1			0	18	70	10		1	zcr							zcr,qty=9																													gcr																																																										0
gems release gcr from stack of x9 zcr	1			0	18	70	9		1	zcr							zcr,qty=8																													gcr																																																										0
gems release gcr from stack of x8 zcr	1			0	18	70	8		1	zcr							zcr,qty=7																													gcr																																																										0
gems release gcr from stack of x7 zcr	1			0	18	70	7		1	zcr							zcr,qty=6																													gcr																																																										0
gems release gcr from stack of x6 zcr	1			0	18	70	6		1	zcr							zcr,qty=5																													gcr																																																										0
gems release gcr from stack of x5 zcr	1			0	18	70	5		1	zcr							zcr,qty=4																													gcr																																																										0
gems release gcr from stack of x4 zcr	1			0	18	70	4		1	zcr							zcr,qty=3																													gcr																																																										0
gems release gcr from stack of x3 zcr	1			0	18	70	3		1	zcr							zcr,qty=2																													gcr																																																										0
gems release gcr from stack of x2 zcr	1			0	18	70	2		1	zcr							zcr,qty=1																													gcr																																																										0
gems gfr -> stackable zfr	1			0					1	gfr							zfr																																																																																							0
gems stackable zfr -> gfr	1			0	18	70	1		1	zfr							gfr																																																																																							0
gems release gfr from stack of x48 zfr	1			0	18	70	48		1	zfr							zfr,qty=47																													gfr																																																										0
gems release gfr from stack of x47 zfr	1			0	18	70	47		1	zfr							zfr,qty=46																													gfr																																																										0
gems release gfr from stack of x46 zfr	1			0	18	70	46		1	zfr							zfr,qty=45																													gfr																																																										0
gems release gfr from stack of x45 zfr	1			0	18	70	45		1	zfr							zfr,qty=44																													gfr																																																										0
gems release gfr from stack of x44 zfr	1			0	18	70	44		1	zfr							zfr,qty=43																													gfr																																																										0
gems release gfr from stack of x43 zfr	1			0	18	70	43		1	zfr							zfr,qty=42																													gfr																																																										0
gems release gfr from stack of x42 zfr	1			0	18	70	42		1	zfr							zfr,qty=41																													gfr																																																										0
gems release gfr from stack of x41 zfr	1			0	18	70	41		1	zfr							zfr,qty=40																													gfr																																																										0
gems release gfr from stack of x40 zfr	1			0	18	70	40		1	zfr							zfr,qty=39																													gfr																																																										0
gems release gfr from stack of x39 zfr	1			0	18	70	39		1	zfr							zfr,qty=38																													gfr																																																										0
gems release gfr from stack of x38 zfr	1			0	18	70	38		1	zfr							zfr,qty=37																													gfr																																																										0
gems release gfr from stack of x37 zfr	1			0	18	70	37		1	zfr							zfr,qty=36																													gfr																																																										0
gems release gfr from stack of x36 zfr	1			0	18	70	36		1	zfr							zfr,qty=35																													gfr																																																										0
gems release gfr from stack of x35 zfr	1			0	18	70	35		1	zfr							zfr,qty=34																													gfr																																																										0
gems release gfr from stack of x34 zfr	1			0	18	70	34		1	zfr							zfr,qty=33																													gfr																																																										0
gems release gfr from stack of x33 zfr	1			0	18	70	33		1	zfr							zfr,qty=32																													gfr																																																										0
gems release gfr from stack of x32 zfr	1			0	18	70	32		1	zfr							zfr,qty=31																													gfr																																																										0
gems release gfr from stack of x31 zfr	1			0	18	70	31		1	zfr							zfr,qty=30																													gfr																																																										0
gems release gfr from stack of x30 zfr	1			0	18	70	30		1	zfr							zfr,qty=29																													gfr																																																										0
gems release gfr from stack of x29 zfr	1			0	18	70	29		1	zfr							zfr,qty=28																													gfr																																																										0
gems release gfr from stack of x28 zfr	1			0	18	70	28		1	zfr							zfr,qty=27																													gfr																																																										0
gems release gfr from stack of x27 zfr	1			0	18	70	27		1	zfr							zfr,qty=26																													gfr																																																										0
gems release gfr from stack of x26 zfr	1			0	18	70	26		1	zfr							zfr,qty=25																													gfr																																																										0
gems release gfr from stack of x25 zfr	1			0	18	70	25		1	zfr							zfr,qty=24																													gfr																																																										0
gems release gfr from stack of x24 zfr	1			0	18	70	24		1	zfr							zfr,qty=23																													gfr																																																										0
gems release gfr from stack of x23 zfr	1			0	18	70	23		1	zfr							zfr,qty=22																													gfr																																																										0
gems release gfr from stack of x22 zfr	1			0	18	70	22		1	zfr							zfr,qty=21																													gfr																																																										0
gems release gfr from stack of x21 zfr	1			0	18	70	21		1	zfr							zfr,qty=20																													gfr																																																										0
gems release gfr from stack of x20 zfr	1			0	18	70	20		1	zfr							zfr,qty=19																													gfr																																																										0
gems release gfr from stack of x19 zfr	1			0	18	70	19		1	zfr							zfr,qty=18																													gfr																																																										0
gems release gfr from stack of x18 zfr	1			0	18	70	18		1	zfr							zfr,qty=17																													gfr																																																										0
gems release gfr from stack of x17 zfr	1			0	18	70	17		1	zfr							zfr,qty=16																													gfr																																																										0
gems release gfr from stack of x16 zfr	1			0	18	70	16		1	zfr							zfr,qty=15																													gfr																																																										0
gems release gfr from stack of x15 zfr	1			0	18	70	15		1	zfr							zfr,qty=14																													gfr																																																										0
gems release gfr from stack of x14 zfr	1			0	18	70	14		1	zfr							zfr,qty=13																													gfr																																																										0
gems release gfr from stack of x13 zfr	1			0	18	70	13		1	zfr							zfr,qty=12																													gfr																																																										0
gems release gfr from stack of x12 zfr	1			0	18	70	12		1	zfr							zfr,qty=11																													gfr																																																										0
gems release gfr from stack of x11 zfr	1			0	18	70	11		1	zfr							zfr,qty=10																													gfr																																																										0
gems release gfr from stack of x10 zfr	1			0	18	70	10		1	zfr							zfr,qty=9																													gfr																																																										0
gems release gfr from stack of x9 zfr	1			0	18	70	9		1	zfr							zfr,qty=8																													gfr																																																										0
gems release gfr from stack of x8 zfr	1			0	18	70	8		1	zfr							zfr,qty=7																													gfr																																																										0
gems release gfr from stack of x7 zfr	1			0	18	70	7		1	zfr							zfr,qty=6																													gfr																																																										0
gems release gfr from stack of x6 zfr	1			0	18	70	6		1	zfr							zfr,qty=5																													gfr																																																										0
gems release gfr from stack of x5 zfr	1			0	18	70	5		1	zfr							zfr,qty=4																													gfr																																																										0
gems release gfr from stack of x4 zfr	1			0	18	70	4		1	zfr							zfr,qty=3																													gfr																																																										0
gems release gfr from stack of x3 zfr	1			0	18	70	3		1	zfr							zfr,qty=2																													gfr																																																										0
gems release gfr from stack of x2 zfr	1			0	18	70	2		1	zfr							zfr,qty=1																													gfr																																																										0
gems gsr -> stackable zsr	1			0					1	gsr							zsr																																																																																							0
gems stackable zsr -> gsr	1			0	18	70	1		1	zsr							gsr																																																																																							0
gems release gsr from stack of x48 zsr	1			0	18	70	48		1	zsr							zsr,qty=47																													gsr																																																										0
gems release gsr from stack of x47 zsr	1			0	18	70	47		1	zsr							zsr,qty=46																													gsr																																																										0
gems release gsr from stack of x46 zsr	1			0	18	70	46		1	zsr							zsr,qty=45																													gsr																																																										0
gems release gsr from stack of x45 zsr	1			0	18	70	45		1	zsr							zsr,qty=44																													gsr																																																										0
gems release gsr from stack of x44 zsr	1			0	18	70	44		1	zsr							zsr,qty=43																													gsr																																																										0
gems release gsr from stack of x43 zsr	1			0	18	70	43		1	zsr							zsr,qty=42																													gsr																																																										0
gems release gsr from stack of x42 zsr	1			0	18	70	42		1	zsr							zsr,qty=41																													gsr																																																										0
gems release gsr from stack of x41 zsr	1			0	18	70	41		1	zsr							zsr,qty=40																													gsr																																																										0
gems release gsr from stack of x40 zsr	1			0	18	70	40		1	zsr							zsr,qty=39																													gsr																																																										0
gems release gsr from stack of x39 zsr	1			0	18	70	39		1	zsr							zsr,qty=38																													gsr																																																										0
gems release gsr from stack of x38 zsr	1			0	18	70	38		1	zsr							zsr,qty=37																													gsr																																																										0
gems release gsr from stack of x37 zsr	1			0	18	70	37		1	zsr							zsr,qty=36																													gsr																																																										0
gems release gsr from stack of x36 zsr	1			0	18	70	36		1	zsr							zsr,qty=35																													gsr																																																										0
gems release gsr from stack of x35 zsr	1			0	18	70	35		1	zsr							zsr,qty=34																													gsr																																																										0
gems release gsr from stack of x34 zsr	1			0	18	70	34		1	zsr							zsr,qty=33																													gsr																																																										0
gems release gsr from stack of x33 zsr	1			0	18	70	33		1	zsr							zsr,qty=32																													gsr																																																										0
gems release gsr from stack of x32 zsr	1			0	18	70	32		1	zsr							zsr,qty=31																													gsr																																																										0
gems release gsr from stack of x31 zsr	1			0	18	70	31		1	zsr							zsr,qty=30																													gsr																																																										0
gems release gsr from stack of x30 zsr	1			0	18	70	30		1	zsr							zsr,qty=29																													gsr																																																										0
gems release gsr from stack of x29 zsr	1			0	18	70	29		1	zsr							zsr,qty=28																													gsr																																																										0
gems release gsr from stack of x28 zsr	1			0	18	70	28		1	zsr							zsr,qty=27																													gsr																																																										0
gems release gsr from stack of x27 zsr	1			0	18	70	27		1	zsr							zsr,qty=26																													gsr																																																										0
gems release gsr from stack of x26 zsr	1			0	18	70	26		1	zsr							zsr,qty=25																													gsr																																																										0
gems release gsr from stack of x25 zsr	1			0	18	70	25		1	zsr							zsr,qty=24																													gsr																																																										0
gems release gsr from stack of x24 zsr	1			0	18	70	24		1	zsr							zsr,qty=23																													gsr																																																										0
gems release gsr from stack of x23 zsr	1			0	18	70	23		1	zsr							zsr,qty=22																													gsr																																																										0
gems release gsr from stack of x22 zsr	1			0	18	70	22		1	zsr							zsr,qty=21																													gsr																																																										0
gems release gsr from stack of x21 zsr	1			0	18	70	21		1	zsr							zsr,qty=20																													gsr																																																										0
gems release gsr from stack of x20 zsr	1			0	18	70	20		1	zsr							zsr,qty=19																													gsr																																																										0
gems release gsr from stack of x19 zsr	1			0	18	70	19		1	zsr							zsr,qty=18																													gsr																																																										0
gems release gsr from stack of x18 zsr	1			0	18	70	18		1	zsr							zsr,qty=17																													gsr																																																										0
gems release gsr from stack of x17 zsr	1			0	18	70	17		1	zsr							zsr,qty=16																													gsr																																																										0
gems release gsr from stack of x16 zsr	1			0	18	70	16		1	zsr							zsr,qty=15																													gsr																																																										0
gems release gsr from stack of x15 zsr	1			0	18	70	15		1	zsr							zsr,qty=14																													gsr																																																										0
gems release gsr from stack of x14 zsr	1			0	18	70	14		1	zsr							zsr,qty=13																													gsr																																																										0
gems release gsr from stack of x13 zsr	1			0	18	70	13		1	zsr							zsr,qty=12																													gsr																																																										0
gems release gsr from stack of x12 zsr	1			0	18	70	12		1	zsr							zsr,qty=11																													gsr																																																										0
gems release gsr from stack of x11 zsr	1			0	18	70	11		1	zsr							zsr,qty=10																													gsr																																																										0
gems release gsr from stack of x10 zsr	1			0	18	70	10		1	zsr							zsr,qty=9																													gsr																																																										0
gems release gsr from stack of x9 zsr	1			0	18	70	9		1	zsr							zsr,qty=8																													gsr																																																										0
gems release gsr from stack of x8 zsr	1			0	18	70	8		1	zsr							zsr,qty=7																													gsr																																																										0
gems release gsr from stack of x7 zsr	1			0	18	70	7		1	zsr							zsr,qty=6																													gsr																																																										0
gems release gsr from stack of x6 zsr	1			0	18	70	6		1	zsr							zsr,qty=5																													gsr																																																										0
gems release gsr from stack of x5 zsr	1			0	18	70	5		1	zsr							zsr,qty=4																													gsr																																																										0
gems release gsr from stack of x4 zsr	1			0	18	70	4		1	zsr							zsr,qty=3																													gsr																																																										0
gems release gsr from stack of x3 zsr	1			0	18	70	3		1	zsr							zsr,qty=2																													gsr																																																										0
gems release gsr from stack of x2 zsr	1			0	18	70	2		1	zsr							zsr,qty=1																													gsr																																																										0
gems glr -> stackable zlr	1			0					1	glr							zlr																																																																																							0
gems stackable zlr -> glr	1			0	18	70	1		1	zlr							glr																																																																																							0
gems release glr from stack of x48 zlr	1			0	18	70	48		1	zlr							zlr,qty=47																													glr																																																										0
gems release glr from stack of x47 zlr	1			0	18	70	47		1	zlr							zlr,qty=46																													glr																																																										0
gems release glr from stack of x46 zlr	1			0	18	70	46		1	zlr							zlr,qty=45																													glr																																																										0
gems release glr from stack of x45 zlr	1			0	18	70	45		1	zlr							zlr,qty=44																													glr																																																										0
